						B-Baseline
			Spectral	Data	File	
		1.0				
						
						
						
						
		4096.0				
		1.0				
						
						
						
		0.01				
		-0.4				
						
		40.0				
		30.0				
		39.742022				
		50.0				
		607000.0				
		100.0				
		0.0				
		0.0				
		45.0				
		0.0				
		0.0				
		0.0				
		4.0				
2.82	254.0					172.0703401339149
2.83	269.0					187.02453204557696
2.84	252.0					169.97872395723903
2.85	221.0					138.93291586890103
2.86	231.0					148.8871077805631
2.87	238.0					155.84129969222516
2.88	220.0					137.7954916038872
2.89	177.0					94.74968351554924
2.9	168.0					85.70387542721129
2.91	152.0					69.65806733887334
2.92	135.0					52.612259250535374
2.93	120.0					37.566451162197424
2.94	121.0					38.520643073859475
2.95	101.0					18.47483498552151
2.96	106.0					23.42902689718356
2.97	74.0					-8.616781191154388
2.98	82.0					-0.6625892794923516
2.99	82.0					-0.708397367830301
3.0	80.0					-2.7542054561682505
3.01	62.0					-20.8000135445062
3.02	61.0					-21.845821632844164
3.03	51.0					-31.891629721182113
3.04	45.0					-37.93743780952006
3.05	45.0					-37.98324589785801
3.06	42.0					-41.029053986195976
3.07	49.0					-34.074862074533925
3.08	42.0					-41.120670162871875
3.09	36.0					-47.16647825120984
3.1	33.0					-50.21228633954779
3.11	41.0					-42.25809442788574
3.12	42.0					-41.3039025162237
3.13	40.0					-43.34971060456165
3.14	34.0					-49.3955186928996
3.15	36.0					-47.441326781237564
3.16	39.0					-44.48713486957551
3.17	43.0					-40.53294295791346
3.18	63.0					-20.578751046251426
3.19	57.0					-26.624559134589376
3.2	85.0					1.3296327770726748
3.21	109.0					25.283824688734725
3.22	153.0					69.23801660039676
3.23	206.0					122.19220851205881
3.24	259.0					175.14640042372088
3.25	344.0					260.1005923353829
3.26	448.0					364.05478424704495
3.27	534.0					450.008976158707
3.28	682.0					597.9631680703691
3.29	788.0					703.917359982031
3.3	803.0					718.8715518936931
3.31	838.0					753.8257438053552
3.32	870.0					785.7799357170172
3.33	894.0					809.7341276286793
3.34	828.0					743.6883195403414
3.35	695.0					610.6425114520034
3.36	645.0					560.5967033636654
